  0.0000000000    0.0000000000
  0.0000100000    0.0003000000    499    12
  0.8000000000    0.7999999762    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
  0.8000000000    0.8000000000    0.8000000000    0.8000000000    0.8000000000
