  0.0000000000    0.0000000000
  0.0000100000    0.0003000000    499    12
  0.0000000000    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
  0.3132506922    0.3132506922    0.3132506922    0.3132506922    0.3132506922
